ci_high,ci_low,ci_width,mean,metric,metric_rank,n,n_capability,n_safety,policy
0.002307692307692308,0.0,0.002307692307692308,0.0007692307692307692,capability,0,1300,,,policy_pinned__budget128__sink8
0.00024701523260601074,-0.0006861534239055849,0.0009331686565115956,-0.0002195690956497871,safety,1,5205,,,policy_pinned__budget128__sink8
0.000137230684781117,-0.002856615046816776,0.002993845731597893,-0.0009887998648805563,ssei,2,,1300,5205,policy_pinned__budget128__sink8
0.002307692307692308,-0.002307692307692308,0.004615384615384616,0.0,capability,0,1300,,,random_matched__budget128__seed991
0.04940304652120214,0.03828736105393166,0.011115685467270486,0.04366680389735145,safety,1,5205,,,random_matched__budget128__seed991
0.04959812521772176,0.03784970073154511,0.011748424486176648,0.04366680389735145,ssei,2,,1300,5205,random_matched__budget128__seed991
0.0,-0.002307692307692308,0.002307692307692308,-0.0007692307692307692,capability,0,1300,,,sink_recent__budget128__sink8
0.0004940304652120213,-0.00032935364347468077,0.000823384108686702,5.489227391244682e-05,safety,1,5205,,,sink_recent__budget128__sink8
0.0025547075402983185,-0.00021956909564978716,0.002774276635948106,0.0008241230431432161,ssei,2,,1300,5205,sink_recent__budget128__sink8
0.0,-0.0038461538461538464,0.0038461538461538464,-0.0015384615384615385,capability,0,1300,,,sliding_window__budget128
0.08900782214903252,0.07490050775353368,0.014107314395498838,0.082063949499108,safety,1,5205,,,sliding_window__budget128
0.0910403141527061,0.07594641669569623,0.01509389745700987,0.08360241103756955,ssei,2,,1300,5205,sliding_window__budget128
0.015384615384615385,0.0038461538461538464,0.011538461538461539,0.009230769230769232,capability,0,1300,,,user_pinned__budget128__sink8
0.07078358721010018,0.057499656923288046,0.013283930286812136,0.06397694524495677,safety,1,5205,,,user_pinned__budget128__sink8
0.06325669527398635,0.04606802419482535,0.017188671079161,0.05474617601418754,ssei,2,,1300,5205,user_pinned__budget128__sink8
